date,state,district,pincode,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_
01-01-2026,Maharashtra,Thane,400601,14.0,3.0,0.0,3.0,31.0,48.0,67.0
01-03-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,99.0,1058.0,0.0,0.0
01-04-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,104.0,783.0,393.0,831.0
01-05-2025,Maharashtra,Thane,400601,80.0,30.0,14.0,0.0,0.0,453.0,851.0
01-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,14.0,32.0
01-09-2025,Maharashtra,Thane,400601,3.0,1.0,1.0,0.0,33.0,16.0,30.0
01-09-2025,Maharashtra,Thane,400601,3.0,1.0,1.0,0.0,33.0,16.0,30.0
01-11-2025,Maharashtra,Thane,400601,2.0,0.0,0.0,4.0,41.0,55.0,48.0
01-11-2025,Maharashtra,Thane,400601,2.0,0.0,0.0,4.0,41.0,55.0,48.0
01-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,4.0,44.0,33.0,37.0
01-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,4.0,44.0,33.0,37.0
02-01-2026,Maharashtra,Thane,400601,11.0,3.0,0.0,2.0,46.0,27.0,46.0
02-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,14.0,41.0
02-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,14.0,41.0
02-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,3.0,11.0
02-09-2025,Maharashtra,Thane,400601,2.0,1.0,0.0,2.0,16.0,0.0,0.0
02-11-2025,Maharashtra,Thane,400601,12.0,2.0,0.0,6.0,14.0,15.0,5.0
02-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,5.0,42.0,33.0,54.0
03-01-2026,Maharashtra,Thane,400601,0.0,0.0,2.0,2.0,7.0,8.0,14.0
03-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,0.0,7.0
