date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Maharashtra,Thane,400603,84,282
01-03-2025,Maharashtra,Thane,400603,84,282
01-03-2025,Maharashtra,Thane,400604,513,1404
01-03-2025,Maharashtra,Thane,400605,397,1064
01-03-2025,Maharashtra,Thane,400605,397,1064
01-03-2025,Maharashtra,Thane,400606,292,840
01-03-2025,Maharashtra,Thane,400606,292,840
01-03-2025,Maharashtra,Thane,400607,295,581
01-03-2025,Maharashtra,Thane,400608,30,92
01-03-2025,Maharashtra,Thane,400612,692,1818
01-03-2025,Maharashtra,Thane,400612,692,1818
01-03-2025,Maharashtra,Thane,400614,103,238
01-03-2025,Maharashtra,Thane,400615,155,579
01-03-2025,Maharashtra,Thane,400701,274,696
01-03-2025,Maharashtra,Thane,400701,274,696
01-03-2025,Maharashtra,Thane,400703,262,480
01-03-2025,Maharashtra,Thane,400703,262,480
01-03-2025,Maharashtra,Thane,400705,156,482
01-03-2025,Maharashtra,Thane,400706,361,814
01-03-2025,Maharashtra,Thane,400708,373,1033
01-03-2025,Maharashtra,Thane,400708,373,1033
01-03-2025,Maharashtra,Thane,401101,170,495
01-03-2025,Maharashtra,Thane,401102,21,313
01-03-2025,Maharashtra,Thane,401106,59,130
01-03-2025,Maharashtra,Thane,401201,32,299
01-03-2025,Maharashtra,Thane,401201,32,299
01-03-2025,Maharashtra,Thane,401202,15,235
01-03-2025,Maharashtra,Thane,401203,20,205
01-03-2025,Maharashtra,Thane,401207,15,53
01-03-2025,Maharashtra,Thane,401207,15,53
01-03-2025,Maharashtra,Thane,401209,74,826
01-03-2025,Maharashtra,Thane,401301,14,93
01-03-2025,Maharashtra,Thane,401303,31,344
01-03-2025,Maharashtra,Thane,401305,54,512
01-03-2025,Maharashtra,Thane,401404,31,348
01-03-2025,Maharashtra,Thane,401404,31,348
01-03-2025,Maharashtra,Thane,401501,17,781
01-03-2025,Maharashtra,Thane,401602,49,840
01-03-2025,Maharashtra,Thane,401606,38,453
01-03-2025,Maharashtra,Thane,401607,11,304
01-03-2025,Maharashtra,Thane,401607,11,304
01-03-2025,Maharashtra,Thane,421001,116,455
01-03-2025,Maharashtra,Thane,421002,241,767
01-03-2025,Maharashtra,Thane,421004,168,509
01-03-2025,Maharashtra,Thane,421005,83,305
01-03-2025,Maharashtra,Thane,421005,83,305
01-03-2025,Maharashtra,Thane,421101,123,147
01-03-2025,Maharashtra,Thane,421203,95,227
01-03-2025,Maharashtra,Thane,421204,229,692
01-03-2025,Maharashtra,Thane,421301,835,2076
01-03-2025,Maharashtra,Thane,421305,206,516
01-03-2025,Maharashtra,Thane,421308,96,272
01-03-2025,Maharashtra,Thane,421311,52,131
01-03-2025,Maharashtra,Thane,421402,41,112
01-03-2025,Maharashtra,Thane,421402,41,112
01-03-2025,Maharashtra,Thane,421403,91,137
01-03-2025,Maharashtra,Thane,421501,265,731
01-03-2025,Maharashtra,Thane,421502,25,63
01-03-2025,Maharashtra,Thane,421503,403,1227
01-03-2025,Maharashtra,Thane,421601,316,441
01-03-2025,Maharashtra,Thane,421602,81,237
01-03-2025,Maharashtra,Thane,421602,81,237
01-03-2025,Maharashtra,Thane,421603,31,29
01-03-2025,Maharashtra,Thane,421603,31,29
01-04-2025,Maharashtra,Thane,400601,393,831
01-04-2025,Maharashtra,Thane,400602,107,254
01-04-2025,Maharashtra,Thane,400603,133,290
01-04-2025,Maharashtra,Thane,400604,583,1070
01-04-2025,Maharashtra,Thane,400605,534,1043
01-04-2025,Maharashtra,Thane,400605,534,1043
01-04-2025,Maharashtra,Thane,400606,417,757
01-04-2025,Maharashtra,Thane,400607,310,604
01-04-2025,Maharashtra,Thane,400608,56,91
01-04-2025,Maharashtra,Thane,400610,136,299
01-04-2025,Maharashtra,Thane,400612,1543,2734
01-04-2025,Maharashtra,Thane,400612,1543,2734
01-04-2025,Maharashtra,Thane,400614,130,214
01-04-2025,Maharashtra,Thane,400615,176,456
01-04-2025,Maharashtra,Thane,400615,176,456
01-04-2025,Maharashtra,Thane,400705,172,418
01-04-2025,Maharashtra,Thane,400706,346,705
01-04-2025,Maharashtra,Thane,400706,346,705
01-04-2025,Maharashtra,Thane,400708,469,859
01-04-2025,Maharashtra,Thane,400708,469,859
01-04-2025,Maharashtra,Thane,400709,372,648
01-04-2025,Maharashtra,Thane,400709,372,648
01-04-2025,Maharashtra,Thane,400710,23,43
01-04-2025,Maharashtra,Thane,401101,278,732
01-04-2025,Maharashtra,Thane,401105,357,865
01-04-2025,Maharashtra,Thane,401105,357,865
01-04-2025,Maharashtra,Thane,401106,111,100
01-04-2025,Maharashtra,Thane,401106,111,100
01-04-2025,Maharashtra,Thane,401107,833,1678
01-04-2025,Maharashtra,Thane,401201,25,289
01-04-2025,Maharashtra,Thane,401202,22,201
01-04-2025,Maharashtra,Thane,401202,22,201
01-04-2025,Maharashtra,Thane,401203,33,207
01-04-2025,Maharashtra,Thane,401204,18,53
01-04-2025,Maharashtra,Thane,401208,31,364
01-04-2025,Maharashtra,Thane,401301,20,73
01-04-2025,Maharashtra,Thane,401303,45,257
01-04-2025,Maharashtra,Thane,401304,11,72
01-04-2025,Maharashtra,Thane,401305,80,428
01-04-2025,Maharashtra,Thane,401404,17,322
01-04-2025,Maharashtra,Thane,401501,13,469
01-04-2025,Maharashtra,Thane,401501,13,469
01-04-2025,Maharashtra,Thane,401504,10,104
01-04-2025,Maharashtra,Thane,401504,10,104
01-04-2025,Maharashtra,Thane,401606,28,343
01-04-2025,Maharashtra,Thane,401606,28,343
01-04-2025,Maharashtra,Thane,421002,303,735
01-04-2025,Maharashtra,Thane,421004,259,482
01-04-2025,Maharashtra,Thane,421101,92,127
01-04-2025,Maharashtra,Thane,421102,108,356
01-04-2025,Maharashtra,Thane,421102,108,356
01-04-2025,Maharashtra,Thane,421103,30,92
01-04-2025,Maharashtra,Thane,421201,461,1097
01-04-2025,Maharashtra,Thane,421202,291,526
01-04-2025,Maharashtra,Thane,421203,93,213
01-04-2025,Maharashtra,Thane,421204,280,668
01-04-2025,Maharashtra,Thane,421301,1156,2306
01-04-2025,Maharashtra,Thane,421301,1156,2306
01-04-2025,Maharashtra,Thane,421302,1225,2733
01-04-2025,Maharashtra,Thane,421305,285,577
01-04-2025,Maharashtra,Thane,421306,698,1590
01-04-2025,Maharashtra,Thane,421306,698,1590
01-04-2025,Maharashtra,Thane,421311,59,174
01-04-2025,Maharashtra,Thane,421311,59,174
01-04-2025,Maharashtra,Thane,421401,147,335
01-04-2025,Maharashtra,Thane,421401,147,335
01-04-2025,Maharashtra,Thane,421403,44,82
01-04-2025,Maharashtra,Thane,421501,311,688
01-04-2025,Maharashtra,Thane,421502,29,62
01-04-2025,Maharashtra,Thane,421503,568,1148
01-04-2025,Maharashtra,Thane,421505,138,278
01-04-2025,Maharashtra,Thane,421505,138,278
01-04-2025,Maharashtra,Thane,421601,232,322
01-04-2025,Maharashtra,Thane,421601,232,322
01-04-2025,Maharashtra,Thane,421602,97,200
01-04-2025,Maharashtra,Thane,421603,12,23
01-04-2025,Maharashtra,Thane,421605,117,211
