date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Maharashtra,Thane,400606,102,1021
01-03-2025,Maharashtra,Thane,400603,15,254
01-03-2025,Maharashtra,Thane,400708,131,1281
01-04-2025,Maharashtra,Thane,400612,611,3624
01-04-2025,Maharashtra,Thane,421301,301,2490
01-05-2025,Maharashtra,Thane,421503,187,1359
01-05-2025,Maharashtra,Thane,421204,131,1300
01-03-2025,Maharashtra,Thane,400701,105,1181
01-03-2025,Maharashtra,Thane,400605,157,1407
01-03-2025,Maharashtra,Thane,421005,25,481
01-03-2025,Maharashtra,Thane,400612,447,3557
01-03-2025,Maharashtra,Thane,400703,70,842
01-03-2025,Maharashtra,Thane,421402,12,278
01-06-2025,Maharashtra,Thane,400607,121,918
01-07-2025,Maharashtra,Thane,421204,181,1551
01-07-2025,Maharashtra,Thane,400606,106,855
01-07-2025,Maharashtra,Thane,401107,416,4242
01-07-2025,Maharashtra,Thane,421302,593,5638
01-09-2025,Maharashtra,Thane,400606,5,23
01-09-2025,Maharashtra,Thane,400607,4,23
01-09-2025,Maharashtra,Thane,400610,0,6
01-09-2025,Maharashtra,Thane,400708,10,37
01-09-2025,Maharashtra,Thane,401101,1,20
01-09-2025,Maharashtra,Thane,401102,0,2
01-09-2025,Maharashtra,Thane,401103,0,4
01-09-2025,Maharashtra,Thane,401106,2,9
01-09-2025,Maharashtra,Thane,401207,0,1
01-09-2025,Maharashtra,Thane,401208,0,12
01-09-2025,Maharashtra,Thane,401302,0,1
01-09-2025,Maharashtra,Thane,401502,0,1
01-09-2025,Maharashtra,Thane,401504,0,1
01-09-2025,Maharashtra,Thane,401607,0,4
01-09-2025,Maharashtra,Thane,401610,0,2
01-09-2025,Maharashtra,Thane,401701,0,1
01-09-2025,Maharashtra,Thane,421001,0,15
01-09-2025,Maharashtra,Thane,421002,3,29
01-09-2025,Maharashtra,Thane,421101,0,4
01-09-2025,Maharashtra,Thane,421103,1,3
01-09-2025,Maharashtra,Thane,421302,17,188
01-09-2025,Maharashtra,Thane,421502,0,2
01-09-2025,Maharashtra,Thane,421605,3,18
02-09-2025,Maharashtra,Thane,400608,0,7
02-09-2025,Maharashtra,Thane,400614,2,13
02-09-2025,Maharashtra,Thane,400615,4,17
02-09-2025,Maharashtra,Thane,401101,3,22
02-09-2025,Maharashtra,Thane,401107,10,104
02-09-2025,Maharashtra,Thane,401601,0,2
02-09-2025,Maharashtra,Thane,401603,0,8
02-09-2025,Maharashtra,Thane,401605,2,9
02-09-2025,Maharashtra,Thane,421002,6,31
02-09-2025,Maharashtra,Thane,421102,2,13
02-09-2025,Maharashtra,Thane,421103,0,4
02-09-2025,Maharashtra,Thane,421301,2,69
02-09-2025,Maharashtra,Thane,421401,1,7
03-09-2025,Maharashtra,Thane,400607,4,37
03-09-2025,Maharashtra,Thane,400612,18,122
03-09-2025,Maharashtra,Thane,401104,0,2
03-09-2025,Maharashtra,Thane,401301,0,2
03-09-2025,Maharashtra,Thane,401405,0,2
03-09-2025,Maharashtra,Thane,401501,0,17
03-09-2025,Maharashtra,Thane,401602,0,13
03-09-2025,Maharashtra,Thane,401605,1,13
03-09-2025,Maharashtra,Thane,401606,1,14
03-09-2025,Maharashtra,Thane,401702,0,1
03-09-2025,Maharashtra,Thane,421001,2,11
03-09-2025,Maharashtra,Thane,421002,2,21
03-09-2025,Maharashtra,Thane,421101,1,5
03-09-2025,Maharashtra,Thane,421201,0,31
03-09-2025,Maharashtra,Thane,421203,0,8
03-09-2025,Maharashtra,Thane,421502,0,2
04-09-2025,Maharashtra,Thane,400608,0,6
04-09-2025,Maharashtra,Thane,400610,0,10
04-09-2025,Maharashtra,Thane,400615,1,33
04-09-2025,Maharashtra,Thane,400705,1,16
