date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Maharashtra,Thane,401107,6,7,0
01-09-2025,Maharashtra,Thane,401203,1,0,0
01-09-2025,Maharashtra,Thane,401603,1,1,0
01-09-2025,Maharashtra,Thane,401606,1,0,0
01-09-2025,Maharashtra,Thane,421305,3,0,0
01-09-2025,Maharashtra,Thane,421306,4,2,0
01-09-2025,Maharashtra,Thane,421401,2,1,0
01-09-2025,Maharashtra,Thane,421503,4,6,0
01-09-2025,Maharashtra,Thane,421601,3,1,0
01-09-2025,Maharashtra,Thane,421602,4,2,1
01-04-2025,Maharashtra,Thane,421004,100,30,11
01-04-2025,Maharashtra,Thane,401107,292,182,10
01-05-2025,Maharashtra,Thane,400612,381,264,17
01-05-2025,Maharashtra,Thane,401107,270,145,26
01-06-2025,Maharashtra,Thane,421302,560,446,13
01-07-2025,Maharashtra,Thane,421501,181,137,36
01-07-2025,Maharashtra,Thane,421503,361,322,27
20-03-2025,Maharashtra,Thane,421503,19,13,15
01-04-2025,Maharashtra,Thane,400607,84,22,22
03-09-2025,Maharashtra,Thane,400606,2,1,0
03-09-2025,Maharashtra,Thane,400614,1,1,0
03-09-2025,Maharashtra,Thane,400703,2,2,0
03-09-2025,Maharashtra,Thane,400706,6,1,1
03-09-2025,Maharashtra,Thane,400708,1,3,0
03-09-2025,Maharashtra,Thane,401102,1,0,0
03-09-2025,Maharashtra,Thane,401202,3,0,0
03-09-2025,Maharashtra,Thane,401204,0,1,0
03-09-2025,Maharashtra,Thane,401305,1,1,0
03-09-2025,Maharashtra,Thane,421003,1,0,0
03-09-2025,Maharashtra,Thane,421102,2,3,0
03-09-2025,Maharashtra,Thane,421202,1,0,0
03-09-2025,Maharashtra,Thane,421305,1,6,0
03-09-2025,Maharashtra,Thane,421311,0,2,0
03-09-2025,Maharashtra,Thane,421503,5,4,0
02-09-2025,Maharashtra,Thane,400602,4,1,0
02-09-2025,Maharashtra,Thane,400605,3,2,0
02-09-2025,Maharashtra,Thane,400606,1,2,0
02-09-2025,Maharashtra,Thane,400705,3,0,0
02-09-2025,Maharashtra,Thane,401105,1,1,0
02-09-2025,Maharashtra,Thane,401201,4,0,0
02-09-2025,Maharashtra,Thane,401208,2,0,0
02-09-2025,Maharashtra,Thane,401209,1,1,0
02-09-2025,Maharashtra,Thane,401301,1,0,0
02-09-2025,Maharashtra,Thane,401506,1,0,0
02-09-2025,Maharashtra,Thane,401607,1,0,0
02-09-2025,Maharashtra,Thane,421202,1,4,0
02-09-2025,Maharashtra,Thane,421503,4,12,0
