pincode,ghost_months,Category
421201,6,HIGH-RISK: Desynchronized Hub
401105,6,HIGH-RISK: Desynchronized Hub
400709,6,HIGH-RISK: Desynchronized Hub
421401,6,HIGH-RISK: Desynchronized Hub
421004,5,HIGH-RISK: Desynchronized Hub
421305,5,HIGH-RISK: Desynchronized Hub
400601,5,HIGH-RISK: Desynchronized Hub
400604,5,HIGH-RISK: Desynchronized Hub
421202,5,HIGH-RISK: Desynchronized Hub
401101,5,HIGH-RISK: Desynchronized Hub
421602,5,HIGH-RISK: Desynchronized Hub
421002,5,HIGH-RISK: Desynchronized Hub
401606,5,PRIORITY: Migration Hotspot
421501,5,STABLE: Mega-Hub
400615,5,HIGH-RISK: Desynchronized Hub
400708,4,HIGH-RISK: Desynchronized Hub
400701,4,HIGH-RISK: Desynchronized Hub
401209,4,PRIORITY: Migration Hotspot
400705,4,HIGH-RISK: Desynchronized Hub
400606,4,HIGH-RISK: Desynchronized Hub
421601,4,HIGH-RISK: Desynchronized Hub
421306,4,STABLE: Mega-Hub
400605,4,HIGH-RISK: Desynchronized Hub
421503,4,STABLE: Mega-Hub
401602,4,PRIORITY: Migration Hotspot
421505,4,Review: Silent Node
400703,4,HIGH-RISK: Desynchronized Hub
400607,4,HIGH-RISK: Desynchronized Hub
421001,3,HIGH-RISK: Desynchronized Hub
400706,3,HIGH-RISK: Desynchronized Hub
401305,3,PRIORITY: Migration Hotspot
421102,3,HIGH-RISK: Desynchronized Hub
421605,3,Review: Silent Node
421308,2,Review: Silent Node
401208,2,PRIORITY: Migration Hotspot
421302,2,STABLE: Mega-Hub
401107,2,STABLE: Mega-Hub
401501,2,PRIORITY: Migration Hotspot
421204,2,STABLE: Mega-Hub
400610,2,Review: Silent Node
401607,2,PRIORITY: Migration Hotspot
401404,2,PRIORITY: Migration Hotspot
